City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Okakarara,NA,-20.5833,17.4333,63.03,35,0,6.17,clear sky
213,Luanda,AO,-8.8368,13.2343,68.59,85,96,13.62,overcast clouds
214,Quatre Cocos,MU,-20.2078,57.7625,71.1,76,46,17.31,light rain
215,Shimanovsk,RU,52.0,127.7,61.48,72,22,4.9,few clouds
216,Bandarbeyla,SO,9.4942,50.8122,77.74,80,97,33.11,overcast clouds
217,Bria,CF,6.5423,21.9863,68.18,99,100,3.74,overcast clouds
218,Angoche,MZ,-16.2325,39.9086,72.55,73,7,7.58,clear sky
219,Severo-Kurilsk,RU,50.6789,156.125,54.45,93,100,3.42,overcast clouds
220,Tremedal,BR,-14.9758,-41.4108,82.42,36,40,9.08,scattered clouds
221,Kijini,TZ,-5.85,39.3167,73.89,79,2,12.84,clear sky
222,Sao Filipe,CV,14.8961,-24.4956,75.83,80,72,6.73,broken clouds
223,Saint George,US,37.1041,-113.5841,98.8,19,40,1.99,scattered clouds
224,Hithadhoo,MV,-0.6,73.0833,81.09,74,100,7.18,overcast clouds
225,Tromso,NO,69.6496,18.957,51.39,86,99,1.99,overcast clouds
226,Hirara,JP,24.8,125.2833,84.72,78,54,12.68,broken clouds
227,Longyearbyen,SJ,78.2186,15.6401,47.34,92,100,2.39,overcast clouds
228,Marsa Matruh,EG,31.3525,27.2453,79.5,69,0,13.47,clear sky
229,Blagoyevo,RU,63.3667,47.9167,66.96,52,83,3.09,broken clouds
230,Waiouru,NZ,-39.4833,175.6667,29.62,92,81,3.49,broken clouds
231,San Miguel,SV,13.4833,-88.1833,82.89,72,97,1.61,overcast clouds
232,Englehart,CA,47.8169,-79.8664,80.53,38,12,10.89,few clouds
233,Kaitangata,NZ,-46.2817,169.8464,38.68,92,84,4.68,broken clouds
234,Artesia,US,33.8658,-118.0831,80.83,72,40,5.01,scattered clouds
235,Carupano,VE,10.6678,-63.2585,83.41,70,41,13.33,scattered clouds
236,Salalah,OM,17.0151,54.0924,77.88,88,100,6.69,overcast clouds
237,Fort Smith,US,35.3859,-94.3986,84.25,33,76,4.21,broken clouds
238,Denpasar,ID,-8.65,115.2167,80.26,83,40,11.5,scattered clouds
239,Port Hueneme,US,34.1478,-119.1951,80.33,78,20,3.87,few clouds
240,Henties Bay,NA,-22.116,14.2845,60.89,69,0,8.55,clear sky
241,Soe,ID,-9.8607,124.284,57.33,86,99,4.07,overcast clouds
242,Zaqatala,AZ,41.6336,46.6433,71.2,72,32,4.81,light rain
243,Kangaatsiaq,GL,68.3065,-53.4641,42.31,94,100,21.32,light rain
244,Cabo San Lucas,MX,22.8909,-109.9124,86.25,60,91,5.28,overcast clouds
245,Huarmey,PE,-10.0681,-78.1522,65.86,75,59,6.35,broken clouds
246,Kavaratti,IN,10.5669,72.642,81.1,79,100,19.13,overcast clouds
247,Fairbanks,US,64.8378,-147.7164,52.61,88,100,6.91,overcast clouds
248,Sanchor,IN,24.7553,71.7722,86.99,69,99,13.18,overcast clouds
249,Bathsheba,BB,13.2167,-59.5167,83.05,81,10,16.17,clear sky
250,Aklavik,CA,68.2191,-135.0107,68.02,49,56,3.98,broken clouds
251,Charyshskoye,RU,51.3978,83.5598,57.88,88,76,4.05,broken clouds
252,Juneau,US,58.3019,-134.4197,55.22,97,99,2.35,overcast clouds
253,Tadine,NC,-21.55,167.8833,75.29,88,100,16.08,overcast clouds
254,Urdoma,RU,61.7533,48.5442,65.7,63,77,4.5,broken clouds
255,Smithers,CA,54.7804,-127.1743,65.28,58,89,3.78,overcast clouds
256,San Ramon,US,37.7799,-121.978,80.82,60,0,8.99,clear sky
257,Saint Anthony,US,45.0205,-93.218,88.93,46,2,1.01,clear sky
258,Russell,US,32.3502,-85.1999,88.02,48,100,5.88,overcast clouds
259,Alyangula,AU,-13.8483,136.4192,63.18,68,88,7.67,overcast clouds
260,Nisia Floresta,BR,-6.0911,-35.2086,86.38,80,95,13.4,overcast clouds
261,Khabary,RU,53.6259,79.5345,58.84,86,32,6.87,scattered clouds
262,Okha,RU,53.5739,142.9478,52.18,90,94,9.66,overcast clouds
263,Inhambane,MZ,-23.865,35.3833,67.12,82,1,5.88,clear sky
264,Pokhara,NP,28.2333,83.9833,73.72,86,100,2.89,overcast clouds
265,Sumbawanga,TZ,-7.9667,31.6167,62.01,51,65,2.55,broken clouds
266,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,81.66,86,84,0.76,broken clouds
267,Lima,PE,-12.0432,-77.0282,63.43,74,47,6.13,scattered clouds
268,Bambous Virieux,MU,-20.3428,57.7575,71.22,76,36,17.58,light rain
269,Faya,SA,18.3851,42.4509,73.51,48,34,5.82,scattered clouds
270,Boa Vista,BR,2.8197,-60.6733,85.98,66,20,5.75,few clouds
271,Hammerfest,NO,70.6634,23.6821,52.25,100,75,11.5,broken clouds
272,Ciudad Bolivar,VE,8.1222,-63.5497,90.34,49,79,12.68,broken clouds
273,Porto Walter,BR,-8.2686,-72.7439,93.33,35,56,2.24,broken clouds
274,Provideniya,RU,64.3833,-173.3,42.57,80,63,9.28,broken clouds
275,Severnyy,RU,50.677,36.5532,60.84,88,40,8.95,scattered clouds
276,San Luis,AR,-33.295,-66.3356,69.51,28,6,2.95,clear sky
277,Margate,GB,51.3813,1.3862,65.1,75,100,4.0,overcast clouds
278,Chapais,CA,49.7834,-74.8492,71.11,58,49,12.57,scattered clouds
279,Ujszilvas,HU,47.2748,19.9248,98.8,26,3,1.01,clear sky
280,Urengoy,RU,65.9667,78.3667,51.04,69,100,7.38,overcast clouds
281,Lagoa,PT,39.05,-27.9833,72.73,86,100,8.84,overcast clouds
282,Antalaha,MG,-14.9003,50.2788,67.71,85,18,8.16,light rain
283,Egvekinot,RU,66.3167,-179.1667,38.3,80,97,9.6,overcast clouds
284,Caravelas,BR,-17.7125,-39.2481,76.84,69,40,5.88,scattered clouds
285,Miandrivazo,MG,-19.5167,45.4667,73.15,36,0,2.3,clear sky
286,Pasni,PK,25.2631,63.471,83.32,85,100,10.0,overcast clouds
287,Otjiwarongo,NA,-20.4637,16.6477,63.32,33,1,8.97,clear sky
288,Nadym,RU,65.5333,72.5167,46.45,93,100,8.81,overcast clouds
289,Malaryta,BY,51.7905,24.074,80.87,57,4,4.97,clear sky
290,Roebourne,AU,-20.7833,117.1333,70.86,72,4,9.31,clear sky
291,Sedro-Woolley,US,48.5039,-122.2361,66.61,78,100,5.75,overcast clouds
292,Cairns,AU,-16.9167,145.7667,67.95,87,75,6.91,broken clouds
293,Baie-Saint-Paul,CA,47.4411,-70.4986,82.06,47,0,10.69,clear sky
294,Gimli,CA,50.6336,-96.9907,68.85,63,2,16.69,clear sky
295,Leningradskiy,RU,69.3833,178.4167,32.27,94,97,8.57,overcast clouds
296,Tanta,EG,30.7885,31.0019,82.72,43,0,11.83,clear sky
297,Buraydah,SA,26.326,43.975,108.05,10,23,11.36,few clouds
298,San Cristobal,VE,7.7669,-72.225,83.88,43,100,8.23,overcast clouds
299,Novoseleznevo,RU,55.6821,69.2056,57.38,84,14,7.9,few clouds
300,Porto Novo,BJ,6.4965,2.6036,78.84,73,99,10.22,overcast clouds
301,Sharjah,AE,25.3573,55.4033,96.22,59,66,11.77,broken clouds
302,Touros,BR,-5.1989,-35.4608,82.2,68,92,15.03,overcast clouds
303,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,29,0,6.91,clear sky
304,Linxia,CN,35.6003,103.2064,58.69,58,0,4.59,clear sky
305,Wawa,NG,9.9022,4.4192,82.33,70,87,2.33,light rain
306,Alofi,NU,-19.0595,-169.9187,64.29,100,58,1.14,broken clouds
307,Arman,RU,59.7,150.1667,59.61,76,84,2.3,broken clouds
308,Kuytun,RU,54.3419,101.5036,55.65,94,100,1.92,overcast clouds
309,Dzaoudzi,YT,-12.7887,45.2699,75.09,78,40,4.61,scattered clouds
310,Muros,ES,42.7762,-9.0603,80.17,57,10,15.12,clear sky
311,Inuvik,CA,68.3499,-133.7218,68.67,51,54,7.61,broken clouds
312,Kloulklubed,PW,7.0419,134.2556,83.34,74,63,10.58,broken clouds
313,Liuzhou,CN,24.3126,109.3892,81.12,78,13,3.85,few clouds
314,Lompoc,US,34.6391,-120.4579,75.92,86,100,10.0,mist
315,Le Havre,FR,49.4938,0.1077,70.72,83,100,5.75,overcast clouds
316,Taihe,CN,30.8712,105.3845,66.61,90,88,4.54,overcast clouds
317,Kuminskiy,RU,58.6667,66.5667,55.4,88,29,2.95,scattered clouds
318,Praia Da Vitoria,PT,38.7333,-27.0667,75.76,89,100,3.49,overcast clouds
319,Marhaura,IN,25.9667,84.8667,84.13,72,92,12.21,overcast clouds
320,Port Blair,IN,11.6667,92.75,80.76,83,100,7.74,overcast clouds
321,Kuusamo,FI,65.9667,29.1833,69.84,49,0,12.66,clear sky
322,Pevek,RU,69.7008,170.3133,31.62,90,100,2.21,overcast clouds
323,Avera,US,33.194,-82.5271,83.71,56,100,7.31,overcast clouds
324,Porangatu,BR,-13.4408,-49.1486,94.77,19,0,3.15,clear sky
325,Esperance,AU,-33.8667,121.9,53.49,77,87,13.8,overcast clouds
326,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,72,2,12.66,clear sky
327,Fukue,JP,32.6881,128.8419,77.65,78,18,7.56,few clouds
328,Zhangye,CN,38.9342,100.4517,73.27,29,3,6.93,clear sky
329,Turukhansk,RU,65.8167,87.9833,61.74,69,65,11.16,broken clouds
330,Nabire,ID,-3.3667,135.4833,74.88,92,71,3.76,broken clouds
331,Palencia,ES,42.4167,-4.5,77.74,42,73,20.56,broken clouds
332,Mnogovershinnyy,RU,53.9353,139.9242,48.88,77,85,4.34,overcast clouds
333,Buchanan,LR,5.8808,-10.0467,79.23,72,85,12.53,overcast clouds
334,Kulhudhuffushi,MV,6.6221,73.07,81.77,79,100,15.77,overcast clouds
